n=1000 mode=point	lumen-rel-patch	rss.built_kb	12216
n=1000 mode=point	lumen-rel-patch	rss.peak_kb	13052
n=1000 mode=point	lumen-rel-rebuild	nodes.total	1001
n=1000 mode=point	lumen-rel-rebuild	nodes.rebuilt	2
n=1000 mode=point	lumen-rel-rebuild	nodes.copied	999
n=1000 mode=point	lumen-rel-rebuild	total_us	325.3
n=1000 mode=point	lumen-rel-rebuild	rss.base_kb	2764
n=1000 mode=point	lumen-rel-rebuild	rss.built_kb	15092
n=1000 mode=point	lumen-rel-rebuild	rss.peak_kb	16088
n=1000 mode=point	lumen-dev-patch	nodes.total	1001
n=1000 mode=point	lumen-dev-patch	nodes.rebuilt	0
n=1000 mode=point	lumen-dev-patch	nodes.copied	0
n=1000 mode=point	lumen-dev-patch	total_us	2142.5
n=1000 mode=point	lumen-dev-patch	rss.base_kb	2832
n=1000 mode=point	lumen-dev-patch	rss.built_kb	14524
n=1000 mode=point	lumen-dev-patch	rss.peak_kb	15440
n=1000 mode=point	lumen-dev-rebuild	nodes.total	1001
n=1000 mode=point	lumen-dev-rebuild	nodes.rebuilt	2
n=1000 mode=point	lumen-dev-rebuild	nodes.copied	999
n=1000 mode=point	lumen-dev-rebuild	total_us	2408.7
n=1000 mode=point	lumen-dev-rebuild	rss.base_kb	2788
n=1000 mode=point	lumen-dev-rebuild	rss.built_kb	16948
n=1000 mode=point	lumen-dev-rebuild	rss.peak_kb	18948
n=1000 mode=point	qt6	stage.idle_paint	213.1
n=1000 mode=point	qt6	stage.set	0.5
n=1000 mode=point	qt6	stage.set_layout	67.1
n=1000 mode=point	qt6	stage.set_layout_paint	297.7
n=1000 mode=point	qt6	total_us	67.1
n=1000 mode=point	qt6	rss.base_kb	20980
n=1000 mode=point	qt6	rss.built_kb	59584
n=1000 mode=point	qt6	rss.peak_kb	59584
n=1000 mode=point	gtk4	stage.set	0.6
n=1000 mode=point	gtk4	stage.set_measure	40.3
n=1000 mode=point	gtk4	total_us	40.3
n=1000 mode=point	gtk4	frame.sustained_ms	23.08
n=1000 mode=point	gtk4	frame.count	130
n=1000 mode=point	gtk4	frame.vsync_floor_ms	16.67
n=1000 mode=point	gtk4	frame.vsync_bound	no
n=1000 mode=point	gtk4	rss.base_kb	113876
n=1000 mode=point	gtk4	rss.built_kb	142972
n=1000 mode=point	gtk4	rss.peak_kb	145020
n=1000 mode=churn	lumen-rel-patch	nodes.total	1001
n=1000 mode=churn	lumen-rel-patch	nodes.rebuilt	0
n=1000 mode=churn	lumen-rel-patch	nodes.copied	0
n=1000 mode=churn	lumen-rel-patch	total_us	5136.8
n=1000 mode=churn	lumen-rel-patch	rss.base_kb	2820
n=1000 mode=churn	lumen-rel-patch	rss.built_kb	56204
n=1000 mode=churn	lumen-rel-patch	rss.peak_kb	59736
n=1000 mode=churn	lumen-rel-rebuild	nodes.total	1001
n=1000 mode=churn	lumen-rel-rebuild	nodes.rebuilt	1001
n=1000 mode=churn	lumen-rel-rebuild	nodes.copied	0
n=1000 mode=churn	lumen-rel-rebuild	total_us	5700.9
n=1000 mode=churn	lumen-rel-rebuild	rss.base_kb	2820
n=1000 mode=churn	lumen-rel-rebuild	rss.built_kb	27424
n=1000 mode=churn	lumen-rel-rebuild	rss.peak_kb	37152
n=1000 mode=churn	lumen-dev-patch	nodes.total	1001
n=1000 mode=churn	lumen-dev-patch	nodes.rebuilt	0
n=1000 mode=churn	lumen-dev-patch	nodes.copied	0
n=1000 mode=churn	lumen-dev-patch	total_us	7620.3
n=1000 mode=churn	lumen-dev-patch	rss.base_kb	2848
n=1000 mode=churn	lumen-dev-patch	rss.built_kb	58164
n=1000 mode=churn	lumen-dev-patch	rss.peak_kb	61816
n=1000 mode=churn	lumen-dev-rebuild	nodes.total	1001
n=1000 mode=churn	lumen-dev-rebuild	nodes.rebuilt	1001
n=1000 mode=churn	lumen-dev-rebuild	nodes.copied	0
n=1000 mode=churn	lumen-dev-rebuild	total_us	8088.5
n=1000 mode=churn	lumen-dev-rebuild	rss.base_kb	2772
n=1000 mode=churn	lumen-dev-rebuild	rss.built_kb	28576
n=1000 mode=churn	lumen-dev-rebuild	rss.peak_kb	39508
n=1000 mode=churn	qt6	stage.idle_paint	289.6
n=1000 mode=churn	qt6	stage.set	339.5
n=1000 mode=churn	qt6	stage.set_layout	6871.4
n=1000 mode=churn	qt6	stage.set_layout_paint	7192.7
n=1000 mode=churn	qt6	total_us	6871.4
